Subject,EEG Peak (Hz),Kuramoto Peak (Hz),Difference (Hz)
B0101T,10.986328125,10.25390625,0.732421875
B0102T,11.1083984375,10.25390625,0.8544921875
B0103T,10.1318359375,10.25390625,0.1220703125
B0104E,10.009765625,10.25390625,0.244140625
B0105E,11.23046875,10.25390625,0.9765625
B0201T,9.765625,10.25390625,0.48828125
B0202T,9.8876953125,10.25390625,0.3662109375
B0203T,9.765625,10.25390625,0.48828125
B0204E,9.765625,10.25390625,0.48828125
B0205E,9.521484375,10.25390625,0.732421875
B0301T,9.6435546875,10.25390625,0.6103515625
B0302T,10.009765625,10.25390625,0.244140625
B0303T,9.6435546875,10.25390625,0.6103515625
B0304E,9.27734375,10.25390625,0.9765625
B0305E,9.6435546875,10.25390625,0.6103515625
B0401T,11.1083984375,10.25390625,0.8544921875
B0402T,10.986328125,10.25390625,0.732421875
B0403T,11.1083984375,10.25390625,0.8544921875
B0404E,11.1083984375,10.25390625,0.8544921875
B0405E,11.3525390625,10.25390625,1.0986328125
B0501T,10.6201171875,10.25390625,0.3662109375
B0502T,10.1318359375,10.25390625,0.1220703125
B0503T,10.6201171875,10.25390625,0.3662109375
B0504E,10.25390625,10.25390625,0.0
B0505E,10.009765625,10.25390625,0.244140625
B0601T,10.3759765625,10.25390625,0.1220703125
B0602T,10.6201171875,10.25390625,0.3662109375
B0603T,10.3759765625,10.25390625,0.1220703125
B0604E,10.3759765625,10.25390625,0.1220703125
B0605E,10.3759765625,10.25390625,0.1220703125
B0701T,12.939453125,10.25390625,2.685546875
B0702T,12.939453125,10.25390625,2.685546875
B0703T,12.6953125,10.25390625,2.44140625
B0704E,10.498046875,10.25390625,0.244140625
B0705E,10.25390625,10.25390625,0.0
B0801T,10.25390625,10.25390625,0.0
B0802T,10.3759765625,10.25390625,0.1220703125
B0803T,10.8642578125,10.25390625,0.6103515625
B0804E,10.25390625,10.25390625,0.0
B0805E,11.1083984375,10.25390625,0.8544921875
B0901T,11.3525390625,10.25390625,1.0986328125
B0902T,11.3525390625,10.25390625,1.0986328125
B0903T,12.0849609375,10.25390625,1.8310546875
B0904E,11.3525390625,10.25390625,1.0986328125
B0905E,11.71875,10.25390625,1.46484375
Average,10.663519965277779,10.25390625,0.6917317708333334
